Workload,Work-life Balance,Job Satisfaction,Interpersonal Relationships,Job Security,Recognition and Appreciation,Coping Mechanisms,Physical Symptoms,Mental Fatigue,Job Future,Stress Level
Extremely Overwhelming,Rarely,Neutral,Generally Negative,Insecure,Always,Never,Always,Often,Pessimistic,Moderate
Manageable,Sometimes,Very Dissatisfied,Generally Positive,Secure,Often,Always,Sometimes,Rarely,Pessimistic,Mild
Manageable,Always,Very Dissatisfied,Neutral,Secure,Never,Rarely,Often,Never,Pessimistic,Moderate
Very Manageable,Sometimes,Dissatisfied,Neutral,Very Insecure,Never,Sometimes,Often,Never,Optimistic,Moderate
Very Manageable,Always,Very Dissatisfied,Generally Positive,Neutral,Rarely,Rarely,Rarely,Rarely,Very Optimistic,Mild
Manageable,Rarely,Very Dissatisfied,Neutral,Very Secure,Rarely,Rarely,Never,Often,Very Optimistic,Mild
Neutral,Always,Very Satisfied,Generally Positive,Neutral,Sometimes,Rarely,Rarely,Never,Optimistic,Mild
Overwhelming,Rarely,Dissatisfied,Very Negative,Very Secure,Sometimes,Often,Always,Often,Optimistic,Moderate
Neutral,Often,Dissatisfied,Neutral,Insecure,Often,Often,Often,Sometimes,Neutral,Moderate
Very Manageable,Sometimes,Very Satisfied,Generally Positive,Very Secure,Rarely,Never,Often,Always,Optimistic,Mild
Manageable,Often,Very Satisfied,Neutral,Neutral,Always,Often,Sometimes,Never,Neutral,Mild
Very Manageable,Never,Dissatisfied,Generally Negative,Neutral,Always,Never,Sometimes,Never,Optimistic,Mild
Neutral,Often,Very Dissatisfied,Very Negative,Insecure,Sometimes,Never,Always,Rarely,Neutral,Moderate
Manageable,Often,Very Satisfied,Very Positive,Very Secure,Often,Rarely,Sometimes,Rarely,Very Optimistic,Normal
Very Manageable,Sometimes,Neutral,Very Positive,Very Secure,Never,Often,Sometimes,Often,Neutral,Mild
Very Manageable,Always,Very Dissatisfied,Very Negative,Very Insecure,Rarely,Sometimes,Rarely,Rarely,Neutral,Moderate
Neutral,Often,Dissatisfied,Generally Positive,Very Insecure,Always,Often,Rarely,Sometimes,Pessimistic,Moderate
Manageable,Rarely,Very Dissatisfied,Generally Negative,Very Insecure,Often,Rarely,Often,Sometimes,Optimistic,Moderate
Neutral,Often,Neutral,Very Positive,Secure,Never,Sometimes,Sometimes,Sometimes,Optimistic,Mild
Neutral,Often,Very Dissatisfied,Generally Positive,Very Insecure,Never,Always,Often,Rarely,Very Optimistic,Moderate
Very Manageable,Never,Satisfied,Generally Positive,Very Secure,Always,Always,Never,Never,Very Optimistic,Normal
Very Manageable,Sometimes,Very Satisfied,Neutral,Secure,Always,Rarely,Always,Often,Very Optimistic,Mild
Manageable,Never,Neutral,Generally Negative,Very Secure,Sometimes,Rarely,Never,Never,Pessimistic,Mild
Manageable,Always,Neutral,Very Positive,Neutral,Sometimes,Sometimes,Sometimes,Rarely,Optimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Generally Negative,Very Secure,Sometimes,Often,Always,Rarely,Very Pessimistic,Moderate
Extremely Overwhelming,Rarely,Very Satisfied,Very Negative,Neutral,Sometimes,Never,Often,Always,Neutral,Moderate
Overwhelming,Sometimes,Very Dissatisfied,Very Negative,Secure,Sometimes,Rarely,Rarely,Often,Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Very Satisfied,Generally Positive,Neutral,Rarely,Rarely,Rarely,Often,Optimistic,Mild
Very Manageable,Always,Very Satisfied,Generally Positive,Neutral,Never,Sometimes,Often,Often,Neutral,Moderate
Manageable,Rarely,Very Satisfied,Generally Positive,Neutral,Rarely,Often,Always,Often,Very Optimistic,Mild
Extremely Overwhelming,Often,Dissatisfied,Very Negative,Secure,Always,Rarely,Often,Sometimes,Optimistic,Moderate
Overwhelming,Never,Neutral,Generally Positive,Very Secure,Never,Always,Rarely,Sometimes,Very Optimistic,Mild
Manageable,Never,Neutral,Very Positive,Neutral,Never,Always,Sometimes,Often,Optimistic,Mild
Manageable,Often,Neutral,Generally Negative,Neutral,Often,Often,Often,Often,Very Pessimistic,Moderate
Manageable,Always,Satisfied,Very Positive,Very Insecure,Rarely,Never,Always,Often,Neutral,Moderate
Very Manageable,Sometimes,Dissatisfied,Generally Positive,Very Insecure,Rarely,Sometimes,Always,Sometimes,Pessimistic,Moderate
Overwhelming,Sometimes,Very Dissatisfied,Very Positive,Neutral,Always,Never,Rarely,Never,Very Optimistic,Mild
Extremely Overwhelming,Never,Dissatisfied,Very Positive,Very Insecure,Never,Often,Sometimes,Sometimes,Optimistic,Moderate
Extremely Overwhelming,Sometimes,Very Satisfied,Very Positive,Very Insecure,Always,Often,Never,Often,Very Pessimistic,Mild
Very Manageable,Never,Satisfied,Very Negative,Secure,Sometimes,Sometimes,Often,Often,Optimistic,Mild
Neutral,Always,Satisfied,Neutral,Secure,Often,Sometimes,Sometimes,Never,Pessimistic,Mild
Manageable,Always,Very Satisfied,Very Positive,Very Secure,Rarely,Never,Never,Sometimes,Very Optimistic,Normal
Overwhelming,Rarely,Very Satisfied,Neutral,Insecure,Always,Sometimes,Never,Rarely,Very Optimistic,Mild
Extremely Overwhelming,Sometimes,Very Satisfied,Generally Negative,Very Secure,Never,Sometimes,Often,Never,Pessimistic,Moderate
Overwhelming,Often,Very Satisfied,Very Positive,Insecure,Sometimes,Rarely,Always,Always,Pessimistic,Moderate
Very Manageable,Rarely,Very Dissatisfied,Very Negative,Insecure,Never,Often,Sometimes,Never,Neutral,Moderate
Neutral,Sometimes,Dissatisfied,Generally Positive,Neutral,Never,Always,Always,Never,Very Optimistic,Moderate
Overwhelming,Sometimes,Satisfied,Very Positive,Secure,Always,Sometimes,Rarely,Often,Pessimistic,Mild
Manageable,Sometimes,Dissatisfied,Very Positive,Secure,Never,Often,Often,Never,Optimistic,Mild
Extremely Overwhelming,Never,Satisfied,Very Negative,Very Insecure,Rarely,Always,Never,Rarely,Neutral,Moderate
Extremely Overwhelming,Sometimes,Very Dissatisfied,Very Positive,Insecure,Never,Often,Never,Sometimes,Very Optimistic,Moderate
Overwhelming,Sometimes,Very Dissatisfied,Very Negative,Secure,Often,Sometimes,Never,Often,Neutral,Moderate
Extremely Overwhelming,Often,Satisfied,Very Positive,Neutral,Often,Sometimes,Often,Never,Optimistic,Mild
Extremely Overwhelming,Often,Neutral,Neutral,Very Insecure,Rarely,Never,Never,Sometimes,Very Optimistic,Mild
Extremely Overwhelming,Often,Satisfied,Generally Negative,Very Secure,Often,Often,Always,Rarely,Optimistic,Moderate
Very Manageable,Never,Satisfied,Generally Negative,Very Secure,Never,Never,Never,Sometimes,Pessimistic,Mild
Extremely Overwhelming,Rarely,Very Satisfied,Generally Negative,Very Insecure,Always,Sometimes,Always,Never,Very Pessimistic,Moderate
Very Manageable,Often,Neutral,Generally Positive,Neutral,Always,Always,Sometimes,Always,Very Pessimistic,Moderate
Very Manageable,Rarely,Dissatisfied,Generally Negative,Neutral,Often,Always,Often,Always,Very Pessimistic,Moderate
Neutral,Never,Dissatisfied,Generally Positive,Insecure,Always,Often,Never,Sometimes,Very Pessimistic,Mild
Extremely Overwhelming,Often,Dissatisfied,Very Positive,Very Insecure,Rarely,Often,Never,Always,Neutral,Moderate
Very Manageable,Rarely,Satisfied,Very Negative,Very Secure,Sometimes,Never,Sometimes,Never,Pessimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Very Positive,Neutral,Rarely,Often,Sometimes,Rarely,Very Pessimistic,Moderate
Neutral,Rarely,Very Dissatisfied,Very Negative,Insecure,Often,Never,Never,Never,Very Pessimistic,Mild
Neutral,Often,Very Dissatisfied,Generally Negative,Neutral,Rarely,Rarely,Rarely,Never,Pessimistic,Moderate
Overwhelming,Often,Dissatisfied,Neutral,Insecure,Always,Never,Never,Sometimes,Optimistic,Mild
Extremely Overwhelming,Often,Satisfied,Generally Negative,Secure,Sometimes,Never,Never,Rarely,Neutral,Mild
Neutral,Never,Very Satisfied,Very Positive,Very Insecure,Rarely,Rarely,Never,Never,Very Optimistic,Normal
Very Manageable,Sometimes,Satisfied,Generally Positive,Very Secure,Never,Never,Often,Never,Neutral,Mild
Overwhelming,Sometimes,Satisfied,Neutral,Neutral,Rarely,Often,Never,Never,Very Optimistic,Mild
Extremely Overwhelming,Never,Neutral,Generally Positive,Secure,Often,Rarely,Sometimes,Always,Very Pessimistic,Mild
Neutral,Always,Very Satisfied,Generally Negative,Insecure,Rarely,Never,Often,Often,Optimistic,Moderate
Manageable,Always,Satisfied,Very Positive,Insecure,Rarely,Often,Sometimes,Sometimes,Neutral,Moderate
Overwhelming,Sometimes,Neutral,Very Negative,Very Secure,Always,Sometimes,Sometimes,Always,Neutral,Moderate
Manageable,Always,Neutral,Very Positive,Very Secure,Often,Never,Never,Never,Very Pessimistic,Mild
Very Manageable,Never,Dissatisfied,Very Negative,Secure,Never,Sometimes,Sometimes,Sometimes,Neutral,Mild
Overwhelming,Always,Dissatisfied,Generally Positive,Neutral,Rarely,Always,Often,Always,Optimistic,Moderate
Extremely Overwhelming,Often,Very Dissatisfied,Very Negative,Very Secure,Often,Always,Never,Often,Very Optimistic,Moderate
Very Manageable,Always,Dissatisfied,Generally Negative,Neutral,Never,Rarely,Rarely,Often,Neutral,Moderate
Overwhelming,Never,Very Dissatisfied,Neutral,Insecure,Rarely,Always,Never,Never,Optimistic,Mild
Very Manageable,Never,Neutral,Very Negative,Insecure,Never,Rarely,Sometimes,Never,Very Optimistic,Mild
Manageable,Sometimes,Satisfied,Generally Positive,Very Secure,Rarely,Rarely,Never,Always,Pessimistic,Mild
Manageable,Sometimes,Neutral,Very Positive,Very Insecure,Never,Often,Sometimes,Never,Optimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Very Positive,Very Insecure,Always,Often,Often,Rarely,Very Pessimistic,Mild
Manageable,Sometimes,Satisfied,Very Positive,Insecure,Sometimes,Always,Rarely,Rarely,Very Optimistic,Mild
Neutral,Never,Very Dissatisfied,Neutral,Very Insecure,Always,Always,Always,Rarely,Very Optimistic,Moderate
Neutral,Sometimes,Very Satisfied,Very Negative,Neutral,Sometimes,Never,Always,Always,Optimistic,Moderate
Overwhelming,Always,Very Dissatisfied,Very Negative,Very Secure,Often,Sometimes,Always,Rarely,Optimistic,Moderate
Neutral,Never,Satisfied,Very Positive,Neutral,Sometimes,Sometimes,Always,Rarely,Very Pessimistic,Mild
Extremely Overwhelming,Often,Neutral,Very Negative,Insecure,Often,Rarely,Often,Never,Neutral,Moderate
Extremely Overwhelming,Never,Neutral,Very Positive,Insecure,Often,Often,Sometimes,Often,Very Pessimistic,Moderate
Very Manageable,Sometimes,Very Dissatisfied,Generally Negative,Insecure,Sometimes,Always,Never,Sometimes,Very Pessimistic,Moderate
Neutral,Sometimes,Very Satisfied,Very Positive,Very Insecure,Never,Always,Never,Sometimes,Optimistic,Mild
Extremely Overwhelming,Sometimes,Neutral,Very Negative,Neutral,Never,Rarely,Rarely,Sometimes,Very Pessimistic,Moderate
Neutral,Often,Dissatisfied,Very Positive,Very Secure,Sometimes,Rarely,Always,Often,Very Optimistic,Mild
Manageable,Always,Dissatisfied,Neutral,Very Insecure,Always,Sometimes,Rarely,Often,Very Optimistic,Mild
Neutral,Often,Very Satisfied,Generally Positive,Secure,Often,Never,Rarely,Rarely,Very Pessimistic,Mild
Extremely Overwhelming,Often,Very Dissatisfied,Generally Positive,Secure,Sometimes,Rarely,Often,Rarely,Pessimistic,Moderate
Overwhelming,Often,Neutral,Neutral,Neutral,Never,Rarely,Sometimes,Often,Very Optimistic,Moderate
Overwhelming,Sometimes,Satisfied,Generally Positive,Insecure,Never,Always,Sometimes,Always,Very Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Dissatisfied,Generally Positive,Very Secure,Rarely,Sometimes,Never,Rarely,Optimistic,Mild
Overwhelming,Often,Very Satisfied,Generally Negative,Very Secure,Never,Often,Rarely,Always,Very Optimistic,Moderate
Neutral,Never,Very Satisfied,Generally Negative,Secure,Never,Sometimes,Sometimes,Never,Very Optimistic,Mild
Very Manageable,Often,Dissatisfied,Generally Negative,Very Secure,Always,Rarely,Often,Sometimes,Very Pessimistic,Mild
Very Manageable,Often,Very Satisfied,Neutral,Insecure,Never,Sometimes,Sometimes,Often,Pessimistic,Moderate
Neutral,Never,Neutral,Very Positive,Neutral,Often,Sometimes,Often,Never,Very Optimistic,Mild
Very Manageable,Often,Satisfied,Generally Positive,Secure,Often,Never,Never,Rarely,Neutral,Normal
Overwhelming,Rarely,Dissatisfied,Generally Positive,Secure,Never,Sometimes,Never,Often,Very Pessimistic,Moderate
Neutral,Sometimes,Neutral,Very Negative,Neutral,Always,Rarely,Rarely,Often,Very Optimistic,Mild
Very Manageable,Sometimes,Neutral,Neutral,Very Secure,Rarely,Often,Always,Never,Pessimistic,Mild
Extremely Overwhelming,Rarely,Neutral,Very Positive,Very Insecure,Often,Sometimes,Often,Sometimes,Very Pessimistic,Moderate
Very Manageable,Rarely,Dissatisfied,Neutral,Very Secure,Rarely,Sometimes,Sometimes,Always,Optimistic,Mild
Manageable,Sometimes,Very Satisfied,Neutral,Insecure,Often,Sometimes,Sometimes,Often,Pessimistic,Mild
Very Manageable,Sometimes,Dissatisfied,Neutral,Very Secure,Sometimes,Sometimes,Rarely,Never,Very Pessimistic,Mild
Extremely Overwhelming,Often,Very Dissatisfied,Very Positive,Insecure,Sometimes,Sometimes,Sometimes,Sometimes,Pessimistic,Moderate
Neutral,Sometimes,Dissatisfied,Neutral,Secure,Never,Often,Often,Sometimes,Optimistic,Moderate
Very Manageable,Often,Very Dissatisfied,Generally Negative,Very Secure,Sometimes,Rarely,Rarely,Rarely,Very Optimistic,Mild
Neutral,Always,Dissatisfied,Generally Positive,Neutral,Never,Never,Often,Often,Optimistic,Moderate
Extremely Overwhelming,Rarely,Dissatisfied,Generally Negative,Insecure,Rarely,Always,Sometimes,Sometimes,Neutral,Moderate
Manageable,Never,Dissatisfied,Neutral,Very Insecure,Sometimes,Sometimes,Rarely,Rarely,Pessimistic,Mild
Overwhelming,Always,Dissatisfied,Generally Negative,Very Secure,Always,Rarely,Often,Never,Optimistic,Mild
Extremely Overwhelming,Rarely,Very Dissatisfied,Neutral,Secure,Always,Always,Never,Sometimes,Very Optimistic,Mild
Very Manageable,Often,Very Dissatisfied,Very Negative,Very Secure,Sometimes,Often,Always,Always,Optimistic,Moderate
Very Manageable,Never,Satisfied,Generally Positive,Insecure,Often,Often,Often,Often,Pessimistic,Mild
Very Manageable,Rarely,Very Satisfied,Generally Negative,Secure,Often,Often,Sometimes,Always,Neutral,Mild
Manageable,Rarely,Dissatisfied,Very Negative,Secure,Sometimes,Never,Never,Always,Optimistic,Mild
Manageable,Rarely,Very Satisfied,Very Negative,Insecure,Often,Always,Sometimes,Always,Optimistic,Moderate
Extremely Overwhelming,Never,Very Dissatisfied,Generally Negative,Very Secure,Often,Always,Sometimes,Never,Very Pessimistic,Moderate
Neutral,Often,Dissatisfied,Neutral,Very Insecure,Always,Often,Always,Often,Pessimistic,Moderate
Neutral,Always,Very Dissatisfied,Very Positive,Secure,Rarely,Never,Often,Never,Very Pessimistic,Moderate
Extremely Overwhelming,Often,Satisfied,Very Positive,Secure,Often,Rarely,Sometimes,Sometimes,Pessimistic,Mild
Very Manageable,Always,Very Satisfied,Generally Positive,Very Insecure,Rarely,Always,Often,Always,Neutral,Moderate
Extremely Overwhelming,Always,Very Satisfied,Neutral,Neutral,Never,Always,Always,Sometimes,Pessimistic,Moderate
Very Manageable,Always,Very Dissatisfied,Generally Negative,Very Secure,Always,Never,Always,Never,Pessimistic,Mild
Extremely Overwhelming,Always,Very Dissatisfied,Very Negative,Very Insecure,Never,Always,Never,Never,Pessimistic,Severe
Extremely Overwhelming,Often,Dissatisfied,Neutral,Secure,Always,Rarely,Often,Rarely,Very Pessimistic,Moderate
Very Manageable,Never,Very Dissatisfied,Neutral,Insecure,Sometimes,Often,Rarely,Always,Neutral,Moderate
Very Manageable,Often,Dissatisfied,Neutral,Neutral,Rarely,Always,Never,Sometimes,Pessimistic,Moderate
Neutral,Often,Neutral,Neutral,Secure,Always,Never,Never,Sometimes,Optimistic,Mild
Very Manageable,Never,Neutral,Neutral,Very Insecure,Sometimes,Rarely,Never,Always,Neutral,Mild
Very Manageable,Often,Very Satisfied,Neutral,Neutral,Often,Sometimes,Always,Never,Very Pessimistic,Mild
Manageable,Always,Very Dissatisfied,Generally Negative,Very Secure,Sometimes,Rarely,Rarely,Sometimes,Pessimistic,Moderate
Overwhelming,Often,Neutral,Generally Positive,Very Secure,Never,Rarely,Sometimes,Always,Pessimistic,Moderate
Manageable,Rarely,Dissatisfied,Generally Positive,Very Secure,Never,Rarely,Often,Sometimes,Neutral,Mild
Very Manageable,Never,Neutral,Neutral,Neutral,Rarely,Often,Always,Always,Neutral,Moderate
Neutral,Often,Neutral,Very Negative,Secure,Always,Sometimes,Rarely,Always,Very Optimistic,Mild
Overwhelming,Never,Very Satisfied,Very Negative,Neutral,Always,Sometimes,Often,Sometimes,Neutral,Mild
Manageable,Sometimes,Dissatisfied,Generally Negative,Insecure,Sometimes,Rarely,Always,Often,Optimistic,Moderate
Manageable,Rarely,Very Satisfied,Generally Negative,Insecure,Never,Rarely,Always,Never,Optimistic,Mild
Extremely Overwhelming,Often,Dissatisfied,Generally Negative,Secure,Often,Often,Sometimes,Often,Neutral,Moderate
Manageable,Rarely,Dissatisfied,Neutral,Very Secure,Often,Often,Sometimes,Always,Very Pessimistic,Moderate
Very Manageable,Always,Very Satisfied,Generally Positive,Insecure,Never,Never,Always,Rarely,Very Optimistic,Mild
Manageable,Rarely,Neutral,Very Negative,Neutral,Often,Often,Often,Always,Optimistic,Moderate
Overwhelming,Rarely,Neutral,Generally Negative,Secure,Always,Often,Often,Rarely,Pessimistic,Mild
Very Manageable,Often,Dissatisfied,Generally Positive,Insecure,Rarely,Often,Often,Always,Very Pessimistic,Moderate
Overwhelming,Sometimes,Very Satisfied,Very Positive,Very Secure,Never,Often,Rarely,Often,Optimistic,Mild
Neutral,Always,Dissatisfied,Very Negative,Insecure,Often,Always,Never,Sometimes,Very Optimistic,Moderate
Overwhelming,Always,Very Dissatisfied,Very Negative,Very Secure,Rarely,Sometimes,Always,Rarely,Neutral,Moderate
Very Manageable,Always,Very Dissatisfied,Generally Positive,Neutral,Never,Sometimes,Never,Sometimes,Very Pessimistic,Moderate
Very Manageable,Rarely,Very Satisfied,Generally Negative,Secure,Never,Sometimes,Always,Often,Optimistic,Mild
Neutral,Often,Very Dissatisfied,Very Positive,Very Secure,Often,Always,Often,Never,Neutral,Mild
Manageable,Rarely,Neutral,Very Negative,Very Insecure,Often,Rarely,Sometimes,Rarely,Neutral,Mild
Manageable,Often,Neutral,Very Negative,Very Insecure,Always,Always,Sometimes,Often,Neutral,Moderate
Overwhelming,Always,Satisfied,Generally Positive,Secure,Often,Always,Rarely,Never,Pessimistic,Mild
Extremely Overwhelming,Sometimes,Neutral,Generally Negative,Insecure,Rarely,Often,Sometimes,Never,Optimistic,Moderate
Neutral,Always,Dissatisfied,Very Positive,Neutral,Rarely,Never,Often,Rarely,Pessimistic,Moderate
Overwhelming,Always,Neutral,Neutral,Neutral,Often,Rarely,Often,Always,Optimistic,Moderate
Overwhelming,Often,Dissatisfied,Generally Positive,Very Insecure,Rarely,Never,Always,Never,Pessimistic,Moderate
Overwhelming,Rarely,Very Satisfied,Generally Negative,Insecure,Often,Rarely,Sometimes,Always,Pessimistic,Moderate
Very Manageable,Never,Neutral,Generally Positive,Insecure,Sometimes,Rarely,Rarely,Sometimes,Optimistic,Mild
Manageable,Always,Satisfied,Neutral,Very Insecure,Sometimes,Rarely,Often,Always,Neutral,Moderate
Neutral,Often,Very Dissatisfied,Very Positive,Secure,Rarely,Sometimes,Always,Often,Neutral,Moderate
Manageable,Never,Neutral,Very Positive,Very Insecure,Often,Always,Sometimes,Often,Pessimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Generally Negative,Very Secure,Rarely,Never,Always,Never,Optimistic,Mild
Overwhelming,Never,Neutral,Very Positive,Very Secure,Always,Always,Never,Always,Very Pessimistic,Mild
Manageable,Never,Very Satisfied,Neutral,Very Secure,Rarely,Always,Often,Sometimes,Very Optimistic,Mild
Neutral,Sometimes,Satisfied,Very Positive,Very Insecure,Always,Never,Often,Often,Optimistic,Mild
Overwhelming,Always,Satisfied,Generally Positive,Secure,Often,Always,Rarely,Rarely,Neutral,Mild
Neutral,Never,Satisfied,Generally Positive,Neutral,Never,Always,Often,Rarely,Neutral,Mild
Overwhelming,Never,Very Dissatisfied,Very Negative,Very Secure,Never,Rarely,Often,Sometimes,Optimistic,Moderate
Manageable,Often,Neutral,Neutral,Insecure,Never,Often,Never,Often,Optimistic,Moderate
Overwhelming,Rarely,Dissatisfied,Neutral,Neutral,Often,Often,Always,Always,Very Pessimistic,Moderate
Neutral,Always,Neutral,Generally Negative,Very Insecure,Often,Never,Rarely,Often,Optimistic,Moderate
Overwhelming,Never,Dissatisfied,Generally Negative,Very Insecure,Never,Sometimes,Sometimes,Sometimes,Very Optimistic,Moderate
Neutral,Rarely,Dissatisfied,Generally Negative,Neutral,Rarely,Never,Often,Sometimes,Very Optimistic,Mild
Neutral,Rarely,Neutral,Very Positive,Secure,Sometimes,Sometimes,Always,Always,Pessimistic,Moderate
Very Manageable,Often,Very Satisfied,Neutral,Very Insecure,Rarely,Often,Rarely,Sometimes,Pessimistic,Moderate
Very Manageable,Often,Neutral,Generally Positive,Secure,Often,Rarely,Often,Never,Pessimistic,Mild
Extremely Overwhelming,Rarely,Dissatisfied,Generally Negative,Secure,Sometimes,Never,Often,Sometimes,Neutral,Moderate
Neutral,Often,Neutral,Generally Negative,Neutral,Rarely,Often,Often,Often,Very Optimistic,Moderate
Very Manageable,Always,Very Satisfied,Very Positive,Very Insecure,Often,Rarely,Often,Sometimes,Optimistic,Mild
Manageable,Never,Dissatisfied,Very Positive,Insecure,Sometimes,Sometimes,Sometimes,Sometimes,Pessimistic,Mild
Extremely Overwhelming,Never,Very Satisfied,Very Negative,Neutral,Never,Rarely,Rarely,Often,Very Optimistic,Mild
Manageable,Never,Very Satisfied,Neutral,Neutral,Sometimes,Often,Rarely,Sometimes,Very Optimistic,Mild
Neutral,Often,Very Satisfied,Neutral,Secure,Always,Sometimes,Often,Always,Neutral,Mild
Very Manageable,Always,Very Satisfied,Very Negative,Insecure,Sometimes,Sometimes,Always,Often,Very Pessimistic,Moderate
Manageable,Never,Neutral,Generally Negative,Insecure,Sometimes,Never,Never,Rarely,Pessimistic,Mild
Extremely Overwhelming,Rarely,Dissatisfied,Very Negative,Neutral,Never,Often,Often,Sometimes,Very Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Dissatisfied,Generally Positive,Very Secure,Never,Sometimes,Always,Often,Pessimistic,Moderate
Very Manageable,Always,Satisfied,Very Negative,Very Insecure,Sometimes,Never,Sometimes,Often,Neutral,Moderate
Neutral,Often,Very Satisfied,Generally Negative,Very Secure,Always,Never,Always,Sometimes,Optimistic,Mild
Extremely Overwhelming,Always,Neutral,Very Negative,Secure,Never,Rarely,Always,Always,Optimistic,Moderate
Manageable,Never,Very Dissatisfied,Very Positive,Insecure,Sometimes,Never,Often,Rarely,Optimistic,Mild
Extremely Overwhelming,Rarely,Very Dissatisfied,Neutral,Very Secure,Never,Always,Always,Often,Very Pessimistic,Moderate
Manageable,Always,Dissatisfied,Neutral,Neutral,Never,Often,Always,Always,Pessimistic,Moderate
Manageable,Always,Very Satisfied,Neutral,Insecure,Always,Never,Always,Sometimes,Optimistic,Mild
Overwhelming,Sometimes,Satisfied,Very Positive,Very Secure,Always,Sometimes,Never,Rarely,Very Optimistic,Normal
Neutral,Never,Very Satisfied,Very Positive,Secure,Often,Always,Often,Never,Very Pessimistic,Mild
Manageable,Often,Very Satisfied,Very Positive,Insecure,Always,Never,Sometimes,Rarely,Very Optimistic,Normal
Manageable,Sometimes,Neutral,Very Positive,Very Insecure,Always,Always,Always,Never,Very Optimistic,Mild
Overwhelming,Sometimes,Very Dissatisfied,Generally Positive,Secure,Always,Always,Always,Always,Neutral,Moderate
Overwhelming,Rarely,Neutral,Neutral,Insecure,Sometimes,Rarely,Sometimes,Never,Pessimistic,Mild
Neutral,Often,Very Dissatisfied,Neutral,Secure,Sometimes,Always,Rarely,Never,Very Optimistic,Mild
Very Manageable,Often,Dissatisfied,Generally Positive,Secure,Always,Often,Always,Rarely,Very Pessimistic,Mild
Manageable,Never,Very Dissatisfied,Generally Negative,Very Insecure,Sometimes,Never,Always,Always,Very Pessimistic,Moderate
Neutral,Rarely,Very Dissatisfied,Neutral,Neutral,Never,Sometimes,Never,Sometimes,Neutral,Moderate
Overwhelming,Never,Dissatisfied,Very Positive,Insecure,Rarely,Always,Often,Always,Pessimistic,Moderate
Extremely Overwhelming,Rarely,Very Dissatisfied,Generally Positive,Very Insecure,Sometimes,Always,Rarely,Rarely,Neutral,Moderate
Overwhelming,Never,Satisfied,Generally Positive,Neutral,Rarely,Sometimes,Rarely,Often,Very Pessimistic,Mild
Neutral,Sometimes,Neutral,Neutral,Very Secure,Sometimes,Often,Rarely,Often,Pessimistic,Mild
Overwhelming,Rarely,Very Dissatisfied,Neutral,Neutral,Never,Always,Never,Always,Neutral,Moderate
Manageable,Never,Satisfied,Very Negative,Neutral,Often,Often,Always,Rarely,Very Pessimistic,Moderate
Manageable,Sometimes,Dissatisfied,Neutral,Neutral,Never,Sometimes,Sometimes,Never,Neutral,Mild
Very Manageable,Often,Very Satisfied,Very Positive,Neutral,Always,Never,Always,Rarely,Neutral,Mild
Overwhelming,Always,Very Dissatisfied,Neutral,Secure,Always,Rarely,Always,Often,Very Optimistic,Moderate
Neutral,Always,Dissatisfied,Very Positive,Insecure,Rarely,Never,Always,Rarely,Optimistic,Moderate
Very Manageable,Always,Very Satisfied,Very Positive,Secure,Often,Often,Never,Rarely,Very Pessimistic,Mild
Overwhelming,Always,Dissatisfied,Generally Positive,Very Secure,Rarely,Rarely,Sometimes,Often,Neutral,Moderate
Manageable,Often,Satisfied,Neutral,Neutral,Never,Never,Always,Often,Neutral,Moderate
Neutral,Sometimes,Very Dissatisfied,Neutral,Neutral,Rarely,Sometimes,Always,Never,Optimistic,Moderate
Overwhelming,Never,Satisfied,Neutral,Insecure,Sometimes,Sometimes,Always,Never,Optimistic,Mild
Extremely Overwhelming,Often,Dissatisfied,Generally Negative,Insecure,Sometimes,Never,Often,Always,Very Pessimistic,Moderate
Manageable,Never,Very Dissatisfied,Neutral,Secure,Rarely,Always,Sometimes,Often,Very Optimistic,Mild
Neutral,Often,Dissatisfied,Very Negative,Very Insecure,Sometimes,Often,Sometimes,Sometimes,Very Pessimistic,Moderate
Overwhelming,Rarely,Neutral,Very Negative,Secure,Sometimes,Never,Always,Often,Very Optimistic,Mild
Overwhelming,Sometimes,Very Satisfied,Generally Negative,Neutral,Rarely,Always,Rarely,Sometimes,Very Optimistic,Mild
Extremely Overwhelming,Always,Dissatisfied,Neutral,Very Insecure,Always,Rarely,Sometimes,Never,Very Pessimistic,Moderate
Extremely Overwhelming,Always,Satisfied,Generally Positive,Secure,Always,Rarely,Rarely,Never,Optimistic,Mild
Manageable,Always,Dissatisfied,Very Positive,Insecure,Often,Often,Always,Sometimes,Optimistic,Moderate
Manageable,Rarely,Satisfied,Neutral,Neutral,Often,Sometimes,Always,Never,Very Pessimistic,Mild
Extremely Overwhelming,Rarely,Dissatisfied,Very Negative,Secure,Often,Never,Always,Often,Neutral,Moderate
Very Manageable,Sometimes,Very Satisfied,Very Negative,Insecure,Sometimes,Rarely,Always,Often,Neutral,Moderate
Neutral,Never,Dissatisfied,Generally Positive,Very Insecure,Never,Never,Always,Often,Very Pessimistic,Moderate
